Date,rf_rate
2017-09-14,0.00011444444444444444
2017-09-15,0.00011444444444444444
2017-09-18,0.00011555555555555555
2017-09-19,0.00011444444444444444
2017-09-20,0.00011333333333333334
2017-09-21,0.00011333333333333334
2017-09-22,0.00011222222222222222
2017-09-25,0.00011555555555555555
2017-09-26,0.00011666666666666668
2017-09-27,0.00011666666666666668
2017-09-28,0.00011555555555555555
2017-09-29,0.00011555555555555555
2017-10-02,0.00011111111111111112
2017-10-03,0.00011666666666666668
2017-10-04,0.00011777777777777778
2017-10-05,0.00011666666666666668
2017-10-06,0.00011666666666666668
2017-10-10,0.00011777777777777778
2017-10-11,0.00012
2017-10-12,0.0001188888888888889
2017-10-13,0.0001188888888888889
2017-10-16,0.00012111111111111112
2017-10-17,0.0001188888888888889
2017-10-18,0.0001188888888888889
2017-10-19,0.00012
2017-10-20,0.00012111111111111112
2017-10-23,0.00012
2017-10-24,0.00012222222222222224
2017-10-25,0.00012222222222222224
2017-10-26,0.00012111111111111112
2017-10-27,0.00012
2017-10-30,0.00012222222222222224
2017-10-31,0.00012555555555555554
2017-11-01,0.0001288888888888889
2017-11-02,0.00012777777777777776
2017-11-03,0.0001288888888888889
2017-11-06,0.00013
2017-11-07,0.00013333333333333334
2017-11-08,0.00013444444444444444
2017-11-09,0.00013555555555555554
2017-11-10,0.00013444444444444444
2017-11-13,0.00013555555555555554
2017-11-14,0.00013777777777777776
2017-11-15,0.00013666666666666666
2017-11-16,0.0001388888888888889
2017-11-17,0.00014
2017-11-20,0.00014222222222222224
2017-11-21,0.00014222222222222224
2017-11-22,0.00014111111111111111
2017-11-24,0.00014
2017-11-27,0.0001388888888888889
2017-11-28,0.00014222222222222224
2017-11-29,0.00014111111111111111
2017-11-30,0.0001388888888888889
2017-12-01,0.0001388888888888889
2017-12-04,0.00014222222222222224
2017-12-05,0.00014222222222222224
2017-12-06,0.00014222222222222224
2017-12-07,0.00014111111111111111
2017-12-08,0.00014
2017-12-11,0.00014555555555555556
2017-12-12,0.00014666666666666666
2017-12-13,0.00014222222222222224
2017-12-14,0.00014444444444444446
2017-12-15,0.00014333333333333334
2017-12-18,0.0001511111111111111
2017-12-19,0.00015000000000000001
2017-12-20,0.0001511111111111111
2017-12-21,0.0001477777777777778
2017-12-22,0.00014555555555555556
2017-12-26,0.0001611111111111111
2017-12-27,0.00015777777777777776
2017-12-28,0.00015222222222222224
2017-12-29,0.00015222222222222224
2018-01-02,0.00015777777777777776
2018-01-03,0.00015444444444444444
2018-01-04,0.00015444444444444444
2018-01-05,0.00015222222222222224
2018-01-08,0.0001588888888888889
2018-01-09,0.00015777777777777776
2018-01-10,0.00015555555555555554
2018-01-11,0.00015666666666666666
2018-01-12,0.00015666666666666666
2018-01-16,0.0001588888888888889
2018-01-17,0.00015777777777777776
2018-01-18,0.0001588888888888889
2018-01-19,0.00015777777777777776
2018-01-22,0.0001588888888888889
2018-01-23,0.00015777777777777776
2018-01-24,0.00015666666666666666
2018-01-25,0.00015555555555555554
2018-01-26,0.00015444444444444444
2018-01-29,0.0001588888888888889
2018-01-30,0.00015777777777777776
2018-01-31,0.00015999999999999999
2018-02-01,0.0001622222222222222
2018-02-02,0.0001622222222222222
2018-02-05,0.00016555555555555556
2018-02-06,0.00016666666666666666
2018-02-07,0.00017
2018-02-08,0.00017
2018-02-09,0.00017
2018-02-12,0.00017888888888888889
2018-02-13,0.00017444444444444446
2018-02-14,0.00017333333333333334
2018-02-15,0.00017333333333333334
2018-02-16,0.0001766666666666667
2018-02-20,0.0001822222222222222
2018-02-21,0.00018000000000000004
2018-02-22,0.00017888888888888889
2018-02-23,0.00017888888888888889
2018-02-26,0.00018333333333333334
2018-02-27,0.0001822222222222222
2018-02-28,0.00018111111111111108
2018-03-01,0.00017777777777777779
2018-03-02,0.00018000000000000004
2018-03-05,0.00018555555555555556
2018-03-06,0.00018333333333333334
2018-03-07,0.00018333333333333334
2018-03-08,0.0001822222222222222
2018-03-09,0.0001822222222222222
2018-03-12,0.00018666666666666666
2018-03-13,0.0001888888888888889
2018-03-14,0.0001922222222222222
2018-03-15,0.0001933333333333333
2018-03-16,0.00019444444444444446
2018-03-19,0.00019666666666666666
2018-03-20,0.00019777777777777778
2018-03-21,0.00019
2018-03-22,0.00018777777777777776
2018-03-23,0.00019
2018-03-26,0.00019555555555555556
2018-03-27,0.0001933333333333333
2018-03-28,0.0001888888888888889
2018-03-29,0.0001888888888888889
2018-04-02,0.0001933333333333333
2018-04-03,0.0001911111111111111
2018-04-04,0.00018666666666666666
2018-04-05,0.00018777777777777776
2018-04-06,0.0001888888888888889
2018-04-09,0.0001922222222222222
2018-04-10,0.00019
2018-04-11,0.0001888888888888889
2018-04-12,0.0001911111111111111
2018-04-13,0.0001922222222222222
2018-04-16,0.00019555555555555556
2018-04-17,0.00019666666666666666
2018-04-18,0.00019777777777777778
2018-04-19,0.00019888888888888888
2018-04-20,0.00019777777777777778
2018-04-23,0.00020444444444444443
